sudo: unable to resolve host pedro: Temporary failure in name resolution
20210520150427,10.0.0.5,80,10.0.0.4,52902,16,0.0-10.8,4063232,3020314
20210520150427,10.0.0.5,80,10.0.0.4,52886,18,0.0-10.8,4063232,3020624
20210520150427,10.0.0.5,80,10.0.0.4,52882,19,0.0-10.8,4063232,3020739
20210520150427,10.0.0.5,80,10.0.0.4,52890,23,0.0-10.8,4063232,3020510
20210520150427,10.0.0.5,80,10.0.0.4,52892,21,0.0-10.8,4063232,3020208
20210520150427,10.0.0.5,80,10.0.0.4,52894,20,0.0-10.8,4063232,3020421
20210520150427,10.0.0.5,80,10.0.0.4,52870,24,0.0-10.8,4063232,3015486
20210520150427,10.0.0.5,80,10.0.0.4,52874,13,0.0-10.8,4194304,3093899
20210520150427,10.0.0.5,80,10.0.0.4,52896,14,0.0-10.8,4194304,3093323
20210520150427,10.0.0.5,80,10.0.0.4,52884,15,0.0-10.8,4194304,3093394
20210520150427,10.0.0.5,80,10.0.0.4,52808,4,0.0-10.9,5505024,4030109
20210520150427,10.0.0.5,80,10.0.0.4,52900,11,0.0-11.0,5505024,4001151
20210520150427,10.0.0.5,80,10.0.0.4,52898,12,0.0-11.0,5505024,4001028
20210520150427,10.0.0.5,80,10.0.0.4,52826,5,0.0-11.1,6422528,4647539
20210520150427,10.0.0.5,80,10.0.0.4,52806,9,0.0-11.1,6422528,4647117
20210520150427,10.0.0.5,80,10.0.0.4,52838,7,0.0-11.1,6422528,4636774
20210520150427,10.0.0.5,80,10.0.0.4,52822,8,0.0-11.1,5636096,4055719
20210520150427,10.0.0.5,80,10.0.0.4,52864,10,0.0-11.1,5636096,4054500
20210520150427,10.0.0.5,80,10.0.0.4,52888,17,0.0-11.2,6422528,4601147
20210520150427,10.0.0.5,80,10.0.0.4,52804,6,0.0-11.2,5636096,4030092
20210520150433,10.0.0.5,80,10.0.0.4,54592,29,0.0-16.4,3538944,1731366
20210520150433,10.0.0.5,80,10.0.0.4,54606,28,0.0-16.4,3538944,1731416
20210520150433,10.0.0.5,80,10.0.0.4,54610,22,0.0-16.4,3538944,1730208
20210520150433,10.0.0.5,80,10.0.0.4,54598,26,0.0-16.4,3538944,1730209
20210520150433,10.0.0.5,80,10.0.0.4,54596,27,0.0-16.4,3538944,1730004
20210520150433,10.0.0.5,80,10.0.0.4,54608,25,0.0-16.7,5242880,2514210
20210520150439,10.0.0.5,80,10.0.0.4,57376,24,0.0-22.5,3538944,1260040
20210520150439,10.0.0.5,80,10.0.0.4,57328,20,0.0-22.5,3538944,1260040
20210520150439,10.0.0.5,80,10.0.0.4,57308,4,0.0-22.5,3538944,1258592
